代码,公司,层级,产品或IP名称,提及次数,首次出现PDF页,首次上下文,说明
002174,游族网络,核心,Zomline Survival,5,10,打造了《Game of Thrones Winter is Coming》PC（《权力的游戏凛冬将至》PC 版）、 《Infinity Kingdom》（《战火与永恒》）、《三十六计》等长周期产品。报告期内，公司进一步拓展小游戏和海外 SLG 矩阵，上线了《大皇帝H5》和《Zomline Survival》，持续丰富产品布局。在游戏主业之外，公司积极推动人工智 能在游戏研运全链路的应用，以AI 驱动组织变革和效率提升；同步延伸AI 产业链的投资布局；以多元投资构建长期增 长生态。 （一）半年度回顾 报告期内，公司实现营业收入6.96 亿元，同比增长1.21%，其中海外地区收入达到5.02 亿元，同比增长13.16%， 海外地区,程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,少年三国志2,5,10,限公司2026 年半年度报告全文 第三节管理层讨论与分析 一、报告期内公司从事的主要业务 游族网络是一家专注于网络游戏研发、发行及运营的全球化研运一体的互动娱乐科技公司。公司成功推出以“少年” 系列IP 为代表的经典自研卡牌手游《少年三国志》《少年三国志2》《少年三国志：零》《少年西游记》《少年西游记 2》，同时深耕SLG 赛道，打造了《Game of Thrones Winter is Coming》PC（《权力的游戏凛冬将至》PC 版）、 《Infinity Kingdom》（《战火与永恒》）、《三十六计》等长周期产品。报告期内，公司进一步拓展小游戏和海外 SLG 矩阵，上线了《大皇帝H5》和《,程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,战火与永恒,5,10,典自研卡牌手游《少年三国志》《少年三国志2》《少年三国志：零》《少年西游记》《少年西游记 2》，同时深耕SLG 赛道，打造了《Game of Thrones Winter is Coming》PC（《权力的游戏凛冬将至》PC 版）、 《Infinity Kingdom》（《战火与永恒》）、《三十六计》等长周期产品。报告期内，公司进一步拓展小游戏和海外 SLG 矩阵，上线了《大皇帝H5》和《Zomline Survival》，持续丰富产品布局。在游戏主业之外，公司积极推动人工智 能在游戏研运全链路的应用，以AI 驱动组织变革和效率提升；同步延伸AI 产业链的投资布局；以多元投资构建长期增 长生态。 （一）半年度回顾,程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,Game of Thrones Winter is Coming,4,10,事的主要业务 游族网络是一家专注于网络游戏研发、发行及运营的全球化研运一体的互动娱乐科技公司。公司成功推出以“少年” 系列IP 为代表的经典自研卡牌手游《少年三国志》《少年三国志2》《少年三国志：零》《少年西游记》《少年西游记 2》，同时深耕SLG 赛道，打造了《Game of Thrones Winter is Coming》PC（《权力的游戏凛冬将至》PC 版）、 《Infinity Kingdom》（《战火与永恒》）、《三十六计》等长周期产品。报告期内，公司进一步拓展小游戏和海外 SLG 矩阵，上线了《大皇帝H5》和《Zomline Survival》，持续丰富产品布局。在游戏主业之外，公司积极推动人工智 能在游戏研运全链路的应用，以AI 驱动组织变革和效率提升；,程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,少年三国志：零,4,10,年半年度报告全文 第三节管理层讨论与分析 一、报告期内公司从事的主要业务 游族网络是一家专注于网络游戏研发、发行及运营的全球化研运一体的互动娱乐科技公司。公司成功推出以“少年” 系列IP 为代表的经典自研卡牌手游《少年三国志》《少年三国志2》《少年三国志：零》《少年西游记》《少年西游记 2》，同时深耕SLG 赛道，打造了《Game of Thrones Winter is Coming》PC（《权力的游戏凛冬将至》PC 版）、 《Infinity Kingdom》（《战火与永恒》）、《三十六计》等长周期产品。报告期内，公司进一步拓展小游戏和海外 SLG 矩阵，上线了《大皇帝H5》和《Zomline S,程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,大皇帝H5,3,10,耕SLG 赛道，打造了《Game of Thrones Winter is Coming》PC（《权力的游戏凛冬将至》PC 版）、 《Infinity Kingdom》（《战火与永恒》）、《三十六计》等长周期产品。报告期内，公司进一步拓展小游戏和海外 SLG 矩阵，上线了《大皇帝H5》和《Zomline Survival》，持续丰富产品布局。在游戏主业之外，公司积极推动人工智 能在游戏研运全链路的应用，以AI 驱动组织变革和效率提升；同步延伸AI 产业链的投资布局；以多元投资构建长期增 长生态。 （一）半年度回顾 报告期内，公司实现营业收入6.96 亿元，同比增长1.21%，其中海外地区收入达到5.02 亿元,程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,权力的游戏凛冬将至,3,10,化研运一体的互动娱乐科技公司。公司成功推出以“少年” 系列IP 为代表的经典自研卡牌手游《少年三国志》《少年三国志2》《少年三国志：零》《少年西游记》《少年西游记 2》，同时深耕SLG 赛道，打造了《Game of Thrones Winter is Coming》PC（《权力的游戏凛冬将至》PC 版）、 《Infinity Kingdom》（《战火与永恒》）、《三十六计》等长周期产品。报告期内，公司进一步拓展小游戏和海外 SLG 矩阵，上线了《大皇帝H5》和《Zomline Survival》，持续丰富产品布局。在游戏主业之外，公司积极推动人工智 能在游戏研运全链路的应用，以AI 驱动组织变革和效率提升；同步延伸AI 产业链的投资布,程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,山海经,2,13,SLG 2026 年6 月 重点已上线产品介绍如下： 《少年三国志》 《少年三国志》是一款公司自研卡牌产品，作为国产卡牌手游长线运营的标杆之作，游戏不断探索三国题材与中华 文化的创新结合点。报告期内，游戏联动上古奇书《山海经》，融入东方美学，助力传统文化年轻化表达。报告期内， 游戏累计推出9 个大型版本与优化版本。通过“少年节十周年”“生日会”等节点营销，持续激活用户情感与社区生态。 13 ===== 第 14 页 =====,程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,三十六计,1,10,年三国志》《少年三国志2》《少年三国志：零》《少年西游记》《少年西游记 2》，同时深耕SLG 赛道，打造了《Game of Thrones Winter is Coming》PC（《权力的游戏凛冬将至》PC 版）、 《Infinity Kingdom》（《战火与永恒》）、《三十六计》等长周期产品。报告期内，公司进一步拓展小游戏和海外 SLG 矩阵，上线了《大皇帝H5》和《Zomline Survival》，持续丰富产品布局。在游戏主业之外，公司积极推动人工智 能在游戏研运全链路的应用，以AI 驱动组织变革和效率提升；同步延伸AI 产业链的投资布局；以多元投资构建长期增 长生态。 （一）半年度回顾 报告期,程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,关于公司变更经营范围的议案,1,83,"公司名称和本公司简称保持一致，经本公司 申请并经深圳证券交易所核准，自2014 年6 月5 日起本公司中文证券简称由“梅花伞”变更为“游族网络”，证券代码 “002174”不变。 根据本公司于2014 年6 月30 日召开的2014 年第一次临时股东大会审议通过的《关于公司变更经营范围的议案》， 本公司于2014 年8 月12 日在福建省工商行政管理局完成了相关工商变更登记手续。2015 年9 月30 日，根据中国证券 监督管理委员会证监许可[2015]2230 号文《关于核准游族网络股份有限公司向陈钢强等发行股份购买资产并募集配套资 金的批复》，核准游族网络股份有限公司向陈钢强发行3,536,067 股股份、向广州掌淘投资咨询有限公",程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,关于变更公司名称的议案,1,83,"股股份、向崔荣发行5,384,267 股股份），购买上海游族信息技术有限公司100% 的股权。购买资产所发行的192,770,051 股新股于2014 年5 月16 日在深圳证券交易所上市。 根据本公司于2014 年5 月20 日召开的2013 年度股东大会审议通过的《关于变更公司名称的议案》和《关于公司增 加注册资本的议案》及《关于修订〈公司章程〉的议案》，本公司于2014 年5 月28 日在福建省工商行政管理局完成了 工商变更登记，同时本公司名称变更为“游族网络股份有限公司”。为使本公司名称和本公司简称保持一致，经本公司 申请并经深圳证券交易所核准，自2014 年6 月5 日起本公司中文证券简称由“梅花伞”变更为“游族网络”，证券",程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,关于支持游戏电竞产业发展的若干举措,1,12,网 络游戏健康发展”，并鼓励游戏出海，支持国际传播基地建设。4 月，国务院新闻办公室举行了新闻发布会介绍《加快 推进服务业扩大开放综合试点工作方案》的有关情况，其中明确指出：“发展游戏出海业务，布局从IP 打造到游戏制作、 发行、海外运营的产业链条”。同月，上海市出台《关于支持游戏电竞产业发展的若干举措》（即“游戏沪十条”）， 涵盖产业集聚、出海服务、原创精品、科技赋能、金融支撑、人才培养、电竞赛事等十个领域，提供系统性配套支持， 形成地方先行先试的示范效应。 政策组合拳的效应持续释放，行业在供给稳定、合规可期、出海提速三个维度同步受益，游戏产业正从“产品输出” 向“文化输出”加速跃迁。 3. AI 布局深化 人,程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,刀剑乱舞,1,10,3 亿元，同比增长403.80%。截至报告期 末，公司现金储备充裕，资产负债结构稳健，为业务拓展、技术研发及战略布局提供坚实保障，具备良好的持续经营能 力和风险抵御能力。 报告期内，公司《少年三国志》系列、《Infinity Kingdom》（《战火与永恒》）、《刀剑乱舞》等在营游戏通过 精细化长线运营，流水表现保持稳健；在616 少年节期间，二十余款游戏面向全球玩家发布特别福利活动，提升玩家活 跃。新品方面，公司推出《大皇帝H5》在延续经典IP 影响力的同时，积极拓展小游戏赛道；SLG 手游《Zomline Survival》已启动海外公测，全球化布局稳步推进。 面对全球人工智能浪潮，公司深刻认识到AI,程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,少年三国志-怀旧版,1,14,13 ===== 第 14 页 ===== 游族网络股份有限公司2026 年半年度报告全文 此外，公司推出的《少年三国志-怀旧版》小程序凭借经典版本复刻与创新商业化运营活动，收入对比上年同期稳中有升， 强势切入小游戏赛道，拓宽产品矩阵。 《少年西游记》 《少年西游记》是一款以经典国风神话IP《西游记》为背景打造的卡牌策略手游。游戏通过经典角色重塑、丰富 养成体系及策略玩法，为玩家打造沉浸式三界冒险体验。上线以来，产品持续深耕西游IP 内容，保持长线运营活力，累,程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,权力的游戏,1,15,C 《Game of Thrones Winter is Coming》PC（《权力的游戏凛冬将至》PC 版）系公司获HBO 正版授权并自主研发 的次世代3D 即时策略游戏，自2019 年上线以来，已覆盖欧美、日韩、东南亚、中国大陆及港澳台等全球市场，游戏以 《权力的游戏》宏大世界观为基础，在美术风格、经典角色、地标建筑及维斯特洛地图等方面深度还原原作内容，并通 过持续的玩法创新与长线运营，为全球玩家打造兼具沉浸感与策略深度的维斯特洛战争体验。报告期内，游戏继续围绕 策略玩法、长期养成和用户体验推进内容迭代。产品推出“传世武器”及配套交易体系，并进一步拓展武器拍卖、武器 宝库等内容，丰富玩家的长期成长路径与资源流通,程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,西游记,1,14,游族网络股份有限公司2026 年半年度报告全文 此外，公司推出的《少年三国志-怀旧版》小程序凭借经典版本复刻与创新商业化运营活动，收入对比上年同期稳中有升， 强势切入小游戏赛道，拓宽产品矩阵。 《少年西游记》 《少年西游记》是一款以经典国风神话IP《西游记》为背景打造的卡牌策略手游。游戏通过经典角色重塑、丰富 养成体系及策略玩法，为玩家打造沉浸式三界冒险体验。上线以来，产品持续深耕西游IP 内容，保持长线运营活力，累 计陪伴玩家多年成长。 报告期内，《少年西游记》围绕十周年庆典持续推进版本升级与品牌建设，推出全新曜金神将体系、周年限定内容 及大型赛事活动，同时通过玩家共创、社区互动等形式强化,程序初筛，重点公司产品另行人工复核
300533,冰川网络,核心,Hero Clash,6,9,指 海南聚珩网络科技有限公司，公司全资子公司 海南重霄 指 海南重霄网络科技有限公司，公司全资子公司 深圳极光 指 深圳极光游域科技有限公司，公司全资子公司 《超能世界》 指 公司放置类卡牌移动游戏产品 《Hero Clash》 指 公司放置类卡牌移动游戏产品，《超能世界》海外发行版本 《X-Clash》 指 公司策略类卡牌移动游戏产品 需要在用户计算机上安装客户端软件的网络游戏，是公司主要的游戏产品类型之 客户端网络游戏、端游 指 一 移动游戏、手游 指 运行于,程序初筛，重点公司产品另行人工复核
300533,冰川网络,核心,超能世界,6,9,指 海南玄戟网络科技有限公司，公司全资子公司 海南聚珩 指 海南聚珩网络科技有限公司，公司全资子公司 海南重霄 指 海南重霄网络科技有限公司，公司全资子公司 深圳极光 指 深圳极光游域科技有限公司，公司全资子公司 《超能世界》 指 公司放置类卡牌移动游戏产品 《Hero Clash》 指 公司放置类卡牌移动游戏产品，《超能世界》海外发行版本 《X-Clash》 指 公司策略类卡牌移动游戏产品 需要在用户计算机上安装客户端软件的网络游戏，是公司主要的游戏产品类型之 客户端网络游戏、端游 指,程序初筛，重点公司产品另行人工复核
300533,冰川网络,核心,X-Clash,4,9,南重霄网络科技有限公司，公司全资子公司 深圳极光 指 深圳极光游域科技有限公司，公司全资子公司 《超能世界》 指 公司放置类卡牌移动游戏产品 《Hero Clash》 指 公司放置类卡牌移动游戏产品，《超能世界》海外发行版本 《X-Clash》 指 公司策略类卡牌移动游戏产品 需要在用户计算机上安装客户端软件的网络游戏，是公司主要的游戏产品类型之 客户端网络游戏、端游 指 一 移动游戏、手游 指 运行于手机、平板电脑等移动终端的游戏产品，是公司主要的游戏产品类型之一 注册用户,程序初筛，重点公司产品另行人工复核
300533,冰川网络,核心,Android 应用加固系统,1,39,十二次会议及第五届董事会独立董事专门会议第七次会议，审议通 过了《关于拟与关联方签署相关采购合同暨关联交易的议案》。根据公司业务发展的需求，公司拟与关联方北京掌上云 集科技发展有限公司（以下简称“掌上云集”）签署相关采购合同（《技术服务合同》）。公司拟接受掌上云集关于 《Android 应用加固系统》软件产品的有偿使用授权，掌上云集为公司提供 Android 加固服务等技术支持工作，涉及交易 金额13.00 万元。掌上云集系公司参股公司，公司财务总监董嘉翌在掌上云集担任董事。详见刊登于巨潮资讯网的《关 于拟与关联方签署相关采购合同暨关联交易的公告》（公告编号：2026-002）。 2.公司于2026 年4 月20 日召开了第五届董事会第十三,程序初筛，重点公司产品另行人工复核
300533,冰川网络,核心,Android 应用隐私检测系统,1,40,39 ===== 第 40 页 ===== 深圳冰川网络股份有限公司2026 年半年度报告全文 签署相关采购合同（《隐私检测销售合同》）。公司拟接受掌上云集关于《Android 应用隐私检测系统》软件产品有偿 使用授权，掌上云集为公司提供企业管理、权限检测、行为检测、合规审查、规则配置、检测报告等服务，帮助公司完 成隐私合规检测以及机器无法检测的隐私合规问题人工介入协助处理，涉及交易金额6.5 万元。掌上云集系公司参股公 司，公司财务总监董嘉翌在掌上云集担任董事。详见刊登于巨潮资讯网的《关于拟与关联方签署相关采购合同暨关联交 易的公告》（,程序初筛，重点公司产品另行人工复核
300533,冰川网络,核心,X-hero,1,21,"净利润 -2,268.27 万元，同比转亏。公司业绩变动的主要原因如下： 1. 报告期内，基于前期游戏产品测试数据，公司持续对SLG 类新产品《X-Clash》开展大规模市场投放，销售费用 同比增加48.37%。 2. 报告期内，公司成熟期游戏产品《X-hero》《超能世界》《Hero Clash》等随着运营周期的延长，充值流水较上年 同期下降，而SLG 类产品充值回收周期较长，公司推出的新游戏所带来的收入增量尚不足以完全抵消上述成熟产品流水 的自然回落，总营业收入同比下降5.29%。 3. 截至2026 年6 月30 日，报告期内公司非经常性损益金额为3,074.83 万元，主要为理财收益及政府补",程序初筛，重点公司产品另行人工复核
300533,冰川网络,核心,上海市关于支持游戏电竞产业发展的若干举措,1,15,===== 深圳冰川网络股份有限公司2026 年半年度报告全文 自2025 年起，国内多地密集落地游戏产业扶持政策，行业迎来地方政策红利窗口期。北京持续推进游戏电竞行业扶 持政策落地；上海推出《上海市关于支持游戏电竞产业发展的若干举措》，围绕产业集聚、游戏出海、技术研发、人才 培育等十大方向发力；广州、深圳相继发布专项扶持方案，其中广州推出《广州市扶持游戏电竞产业发展的十八条措 施》，深圳出台《深圳市加快游戏产业高质量发展三年行动计划（2025－2027 年）》，杭州也出台举措扶持网游创作与 海外市场拓展。各地政策普遍聚焦技术创新、游戏产品出海、研发运营、电竞赛事培育等核心方向，,程序初筛，重点公司产品另行人工复核
300533,冰川网络,核心,代号：SC,1,18,的发展 动力。目前公司已成立了多个项目团队从事新游戏产品的开发，有多款游戏正在积极推进中。当前公司自研及定制类产 品情况列示如下： 序号 项目名称 项目类型 项目介绍 所处阶段 1 《代号：SC》 手游 卡牌SLG 手游 测试中 2 《代号：合成》 手游 休闲养成手游 已立项 3 《代号：末日之旅》 手游 休闲养成手游 已立项 4 《代号：契约》,程序初筛，重点公司产品另行人工复核
